wine_name,link,country,type,grape,classification,description,evaluation,rating_count,lowest_price,full_price,discount
Barahonda Barrica Monastrell Syrah 2015,wine.com.br/vinhos/barahonda-barrica-monastrell-syrah-2015/prod20079.html,Espanha,tinto,"Syrah, Syrah, Monastrell",Seco,"Bom corpo, acidez agradável, taninos presentes",0.0,0.0,119.88,130.9,0.08418640183346071
Gazzerotta I.G.T. Terre Siciliane Nero dAvola 2016,wine.com.br/vinhos/gazzerotta-i-g-t-terre-siciliane-nero-davola-2016/prod23581.html,Itália,tinto,Nero d'Avola,Meio Seco/Demi-Sec,"Bom corpo, acidez agradável, taninos presentes, frutado, boa persistência",0.0,0.0,151.65,201.9,0.24888558692421991
Dark Horse The Original Cabernet Sauvignon 2017,wine.com.br/vinhos/dark-horse-the-original-cabernet-sauvignon-2017/prod22841.html,Estados Unidos,tinto,Cabernet Sauvignon,Seco,"Taninos aveludados, frutado e boa acidez",4.5,28.0,90.47,102.9,0.12079689018464534
Cap Insula 2017,wine.com.br/vinhos/cap-insula-2017/prod23400.html,França,tinto,"Syrah, Mourvèdre, Grenache ",Seco,"Taninos robustas, final persistente",4.0,9.0,95.18,132.9,0.28382242287434156
Dark Horse The Original California Pinot Noir 2017,wine.com.br/vinhos/dark-horse-the-original-california-pinot-noir-2017/prod22839.html,Estados Unidos,tinto,Pinot Noir,Seco,"Corpo médio, delicado e taninos aveludados",4.0,34.0,90.47,102.9,0.12079689018464534
Señorío De Ayud Garnacha Syrah 2018,wine.com.br/vinhos/senorio-de-ayud-garnacha-syrah-2018/prod22835.html,Espanha,tinto,"Syrah, Garnacha ",Seco,"Frutado, corpo de leve para médio, taninos presentes, boa acidez",4.0,77.0,52.82,60.9,0.13267651888341536
Quinta de Pancas Tinto 2017,wine.com.br/vinhos/quinta-de-pancas-tinto-2017/prod23196.html,Portugal,tinto,"Cabernet Sauvignon, Alicante Bouschet, Touriga Nacional",Seco,"Médio corpo, frutado, acidez agradável, taninos macios, média presença da madeira, ",5.0,1.0,91.65,143.9,0.36309937456567054
Calyptra Gran Reserva Cabernet Sauvignon 2015,wine.com.br/vinhos/calyptra-gran-reserva-cabernet-sauvignon-2015/prod20138.html,Chile,tinto,Cabernet Sauvignon (100%),Seco,"Encorpado, taninos presentes, acidez agradável, maduro ",3.5,7.0,257.53,299.9,0.14128042680893638
Apothic Red 2017,wine.com.br/vinhos/apothic-red-2017/prod22747.html,Estados Unidos,tinto,"Merlot, Cabernet Sauvignon, Syrah, Zinfandel",Meio Seco/Demi-Sec,"Leve para médio corpo, acidez agradável, taninos macios, doçura média",4.5,42.0,108.12,141.9,0.23805496828752648
Baron Philippe de Rothschild Pays D´Oc Merlot 2018,wine.com.br/vinhos/baron-philippe-de-rothschild-pays-d-oc-merlot-2018/prod23807.html,França,tinto,Merlot,Seco,"Frutado, corpo médio, taninos bem integrados",0.0,0.0,94.0,145.9,0.35572309801233726
Toro Loco Reserva D.O. Utiel-Requena 2015,wine.com.br/vinhos/toro-loco-reserva-d-o-utiel-requena-2015/prod22982.html,Espanha,tinto,"Syrah, Bobal, Tempranillo, Merlot",Seco,"Médio corpo, acidez agradável, frutado, amadeirado, taninos presentes",4.5,30.0,94.0,122.9,0.23515052888527266
Fantinel Eclisse La Roncaia I.G.T. Venezia Giulia Branco 2016,wine.com.br/vinhos/fantinel-eclisse-la-roncaia-i-g-t-venezia-giulia-branco-2016/prod20164.html,Itália,branco,"Sauvignon Blanc, Picolit ",Seco,"Médio corpo, boa acidez, frutado, final agradável",0.0,0.0,277.53,413.9,0.32947571877265047
Ropiteau Frères Premier Cru A.O.C. Puligny-Montrachet  Sous Le Puits Blanc 2016,wine.com.br/vinhos/ropiteau-freres-premier-cru-a-o-c-puligny-montrachet-sous-le-puits-blanc-2016/prod20281.html,França,branco,Chardonnay (100.00%),Seco,"Medio corpo, boa acidez, untuoso, final longo",0.0,0.0,863.41,985.9,0.12424180951414954
Pinhal da Torre Late Harvest Tardio 2010 500 ml,wine.com.br/vinhos/pinhal-da-torre-late-harvest-tardio-2010-500-ml/prod21088.html,Portugal,branco,Fernão Pires (100%),Suave/Doce,"Médio corpo, untuoso, doce, boa acidez, final longo",3.5,2.0,163.41,293.9,0.4439945559714188
Covela Edição Nacional D.O.C. Vinho Verde Arinto 2017,wine.com.br/vinhos/covela-edicao-nacional-d-o-c-vinho-verde-arinto-2017/prod24414.html,Portugal,branco,Arinto,Seco,No paladar é seco e elegante ao mesmo tempo que é fresco e vivo. A mineralidade convive bem com os aromas de frutas amarelas de caroço. É possível sentir a força do sol da região “Douro Verde”.,0.0,0.0,105.76,124.9,0.1532425940752602
Calyptra Gran Reserva Sauvignon Blanc 2015,wine.com.br/vinhos/calyptra-gran-reserva-sauvignon-blanc-2015/prod21766.html,Chile,branco,Sauvignon Blanc (100%),Seco,"Médio corpo, boa acidez, final longo, amadeirado",0.0,0.0,182.2,182.2,0.0
Frei Brothers Reserve Chardonnay 2017,wine.com.br/vinhos/frei-brothers-reserve-chardonnay-2017/prod22147.html,Estados Unidos,branco,Chardonnay (100%),Meio Seco/Demi-Sec,"Bom corpo, boa acidez, final agradável",0.0,0.0,337.9,337.9,0.0
Maycas del Limarí Quebrada Seca Chardonnay 2015,wine.com.br/vinhos/maycas-del-limari-quebrada-seca-chardonnay-2015/prod22349.html,Chile,branco,Chardonnay (100%),Seco,"Encorpado, untuoso, boa acidez, final longo",5.0,6.0,365.76,449.9,0.18701933763058454
Vila Vita Branco 2016,wine.com.br/vinhos/vila-vita-branco-2016/prod17534.html,Portugal,branco,"Antão Vaz (50.00%), Arinto (30.00%), Gouveio (20.00%)",Seco,"Médio corpo, boa acidez, lima, final persistente",3.5,12.0,98.71,117.9,0.16276505513146744
Altivo Classic Torrontés 2019,wine.com.br/vinhos/altivo-classic-torrontes-2019/prod24120.html,Argentina,branco,Torrontés,Seco,"Leve, equilibrado, com bom frescor e final frutado",0.0,0.0,52.82,64.9,0.18613251155624044
Marechal Collection Blanc,wine.com.br/vinhos/marechal-collection-blanc/prod18831.html,França,branco,"Ugni Blanc, Sauvignon Blanc",Seco,"Leve, acidez equilibrada e final agradável",5.0,2.0,52.82,64.9,0.18613251155624044
Gallo Family Vineyards Califórnia Chardonnay,wine.com.br/vinhos/gallo-family-vineyards-california-chardonnay/prod18749.html,Estados Unidos,branco,Chardonnay,Seco,Frutas brancas cítricas baunilha,2.5,8.0,54.0,61.1,0.1162029459901801
Oxford Landing Estates Sauvignon Blanc 2017,wine.com.br/vinhos/oxford-landing-estates-sauvignon-blanc-2017/prod19505.html,Austrália,branco,Sauvignon Blanc (100%),Seco,"Leve, cítrico, vegetal, boa acidez",4.0,24.0,101.06,120.9,0.16410256410256407
Gloria Reynolds Branco 2018,wine.com.br/vinhos/gloria-reynolds-branco-2018/prod23760.html,Portugal,branco,Antão Vaz (100%),Seco,"Boa acidez, corpo de leve para médio, mineral, bom final",0.0,0.0,464.59,548.9,0.15359810530151208
Domaine de Baronarques Blanc 2016,wine.com.br/vinhos/domaine-de-baronarques-blanc-2016/prod19475.html,França,branco,Chardonnay (100%),Seco,"Complexo, suculento, corpo de médio para encorpado, boa acidez, final longo",2.0,1.0,592.82,793.9,0.25328126968132003
L'Esprit de Chevalier Blanc 2014,wine.com.br/vinhos/l-esprit-de-chevalier-blanc-2014/prod19376.html,França,branco,"Sauvignon Blanc (60%), Sémillon (40%)",Seco,"Corpo de leve para médio, boa acidez, frutado",5.0,1.0,382.24,559.9,0.3173066619039113
Château Capitoul Oros A.O.C. La Clape Blanc 2016,wine.com.br/vinhos/chateau-capitoul-oros-a-o-c-la-clape-blanc-2016/prod19916.html,França,branco,"Marsanne , Viognier, Roussanne",Seco,"Corpo de leve para médio, acidez agradável, leve amadeirado",3.5,9.0,121.06,226.9,0.4664609960334949
Partridge Unfiltered Pinot Gris 2019,wine.com.br/vinhos/partridge-unfiltered-pinot-gris-2019/prod23275.html,Argentina,branco,Pinot Gris (100%),Seco,"Frutado, floral, leve, boa acidez",4.0,17.0,64.59,78.9,0.18136882129277565
Gruner Veltliner Classic White 2018,wine.com.br/vinhos/gruner-veltliner-classic-white-2018/prod23115.html,Áustria,branco,Grüner Veltliner,Seco,"Leve, jovem e com toque mineral",4.0,6.0,105.76,151.9,0.3037524687294273
Finca La Chamiza Chardonnay 2018,wine.com.br/vinhos/finca-la-chamiza-chardonnay-2018/prod23057.html,Argentina,branco,Chardonnay (100.00%),Seco,"Jovem, frutado, fresco e com final persistente",4.0,43.0,69.9,69.9,0.0
